0001,ヴァーリ,英雄,闇,,ブレイダー,110,45,32,22,7,男魔神騎,女神魔竜獣,,,S,7,魔力,34,片手,鎧,,,,,,,,解除攻撃,0,狂奔の牙,12,必殺増加,25,扇形攻撃,0,カブト割,35,堅守体躯,35,側面攻撃,15,師団活性,20,カブト割Ａ,15,致命必殺,50,確率追撃,50,闇,2,ブラックファング,闇,2,ケイオスブレード,闇,3,イビルスクライド,闇,4,混沌領域,闇,5,ティルフィング,メイン_通常,4207,106,81,61,32,1,1.5,35,35,
0002,覇王ヴァーリ,英雄,闇,,ブレイダー,120,60,45,27,8,男魔神騎超,女神魔竜獣超,,,S,13,魔力,46,片手,鎧,,,,,,,,夜戦適応,0,狂奔の牙,15,必殺増加,35,十字攻撃,0,カブト割,50,堅守体躯,60,側面攻撃,20,師団活性,30,カブト割Ａ,15,心核穿ち,50,確率追撃,100,闇,2,グランドファング,闇,3,リベリオンブレード,闇,2,マーチオブキングス,光,4,聖樹領域,光,5,天剣リディル,メイン_ロウ,4590,135,106,71,34,1,1.5,50,50,
0003,魔王ヴァーリ,英雄,闇,,ブレイダー,120,52,45,20,6,男魔騎夜超,全,,,S,18,魔力,56,片手,鎧,,,,,,,,多段攻撃,3,狂奔の牙,15,致命必殺,100,全域攻撃,0,次元斬撃,25,神魔体躯,65,師団弱体,30,師団活性,15,カブト割Ａ,15,確率追撃,50,夜行指揮,20,闇,2,デスファング,闇,3,アルカイクスレイヤー,闇,4,崩壊の刃,闇,3,殺滅領域,闇,5,崩剣リディル,メイン_カオス,4590,119,106,57,30,2.05,4.1,25,44,
0011,リンデ,英雄,火,,ガーダー,105,25,42,16,8,女魔竜炎騎,神竜樹氷,,,S,6,魔力,32,両手,盾,,,,,,,,大火炎陣,8,防御布陣,25,反撃倍加,4,前進防御,0,専守防衛,0,堅守体躯,40,十字無効,0,竜鱗守護,75,堅守体躯Ｃ,10,砲撃結界,40,特攻防御,40,火,2,ブレイズガード,火,2,クリムゾン・ローズ,火,3,アヴェンジャー,火,4,ドラグーン・ブリッツ,火,4,竜の盾ズヴァール,メイン_通常,4016,67,100,49,34,1,1.5,0,0,
0012,竜戦騎リンデ,英雄,火,,ガーダー,115,32,57,18,9,女魔竜炎騎,神竜樹氷飛,,,S,10,魔力,40,両手,盾,,,,,,,,大火炎陣,12,防御布陣,30,反撃倍加,6,前進防御,0,専守防衛,0,堅守体躯,60,範囲無効,0,竜鱗守護,100,堅守体躯Ｃ,10,砲撃結界,60,特攻防御,60,火,2,フレアー・センチネル,火,2,メルティック・ローズ,火,3,リベレーター,火,4,バースト・ドラグーン,火,4,フォートリンデ,メイン_ロウ,4398,81,129,53,36,1,1.5,0,0,
0021,ロキ,英雄,火,,キャスター,95,26,18,15,13,男魔炎超,女神飛海氷,,,S,5,資源,30,杖,道具,,,,,,,,火炎放射,15,魔族医療,10,砲撃結界,40,師団指揮,20,専守防衛,0,標的後逸,0,愚者の嘘,1,トレハン,16,地形無効Ｃ,0,火炎砲弾,6,戦意高揚,100,火,1,ミゼリアス,火,2,イグニス・リーネア,火,2,ファートゥス,,3,導くロカセナ,火,4,イグニス・スパエラ,メイン_通常,3633,69,53,47,44,1,1.5,0,0,
0022,少年軍師ロキ,英雄,火,,キャスター,105,34,21,24,15,男魔炎超,女魔神獣海氷,,,S,12,資源,44,杖,道具,,,,,,,,大火炎陣,10,平等治癒,10,砲撃結界,60,師団指揮,25,専守防衛,0,標的後逸,0,愚者の嘘,2,トレハン,28,地形無効Ｃ,0,火炎砲弾,9,戦術補助,100,火,1,ミゼリアス,火,2,イグニス・リーネア,火,2,ファートゥス,,3,導くロカセナ,火,4,イグニス・スパエラ,その他,4016,84,59,65,47,1,1.5,0,0,
0023,覇王ロキ,英雄,火,,ランサー,140,77,77,37,12,男魔神炎騎超,全魔神,,,A,36,資源,92,両手,鎧,,,,,,,,軍団攻撃,0,大火炎陣,25,必殺増加,35,致命必殺,120,カブト割,55,神魔体躯,65,師団活性,50,特攻防御,100,心核穿ちＡ,10,確率追撃,100,愚者の嘘,2,火,1,エクイティ・エッジ,闇,2,エンペラー・コマンド,火,3,レベリオー・イグニス,,4,暴くロカセナ,火,5,ベリタス・イグニス,メイン_ロウ,5005,162,162,87,40,1,2.2,55,67,
0031,ノルン,英雄,光,,ヒーラー,105,12,26,23,12,女神炎樹器,死夜,,,S,6,食料,32,法衣,道具,,,,,,,,バリアー,5,師団活性,20,対術反射,40,リカバリ,25,専守防衛,0,特攻防御,50,絶対治療,0,平等治癒,12,バリアーＦ,5,兵士運搬,0,攻撃弱体,20,光,1,アンジュ・プリエール,光,2,イリュジオン,光,3,デウス・リュミエール,光,3,デウス・カシマール,光,5,神鏡ウルザルブルン,メイン_通常,4016,42,69,63,42,1,1.5,0,0,
0032,聖樹の女神ノルン,英雄,光,,ヒーラー,115,16,62,32,15,女神炎樹器超,死夜夜,,,S,12,食料,44,法衣,道具,,,,,,,,バリアー,10,師団活性,30,対術反射,60,リカバリ,50,専守防衛,0,特攻防御,80,絶対治療,0,平等治癒,15,バリアーＦ,5,兵士運搬,0,師団弱体,30,光,1,アンジュ・プリエール,光,2,イリュジオン,光,3,デウス・リュミエール,光,3,デウス・カシマール,光,5,神鏡ウルザルブルン,その他,4398,49,139,81,47,1,1.5,0,0,
